,0
0,2968.9841
1,2995.798
2,3019.7979
3,3019.1765
4,3034.3076
5,3067.8945
6,3080.1238
7,3120.5867
8,3058.8855
9,3037.7664
10,2956.41
11,3103.1694
12,3101.366
13,3087.1858
14,3128.8796
15,3101.9739
16,3153.511
17,3142.9902
18,3089.1062
19,3115.8
20,3053.4187
21,3082.3855
22,3134.8652
23,3191.6702
24,3216.9788
25,3231.3225
26,3230.4663
27,3272.8608
28,3267.9797
29,3318.297
30,3203.1533
31,3276.4233
32,3239.9626
33,3255.5264
34,3262.5242
35,3347.6946
36,3306.7424
37,3307.267
38,3198.78
39,3233.8647
40,3257.909
41,3248.4365
42,3241.681
43,3321.446
44,3350.6194
45,3363.995
46,3382.9688
47,3388.9556
48,3411.271
49,3400.7888
50,3376.138
51,3358.6292
52,3398.9321
53,3403.0886
54,3414.165
55,3437.7524
56,3449.6028
57,3417.7144
58,3461.329
59,3512.4155
60,3491.2954
61,3530.382
62,3575.968
63,3576.257
64,3584.0781
65,3618.9924
66,3670.5864
67,3621.8765
68,3498.253
69,3364.7585
70,3409.1726
71,3455.1753
72,3394.3914
73,3394.4097
74,3443.9983
75,3451.561
76,3336.3147
77,3384.4797
78,3285.5732
79,3357.3196
80,3378.3496
81,3269.3801
82,3304.7986
83,3414.4705
84,3421.1135
85,3416.7698
86,3470.3335
87,3413.971
88,3437.311
89,3476.3772
90,3464.8835
91,3510.8398
92,3522.6472
93,3587.6584
94,3632.3745
95,3629.034
96,3541.8984
97,3595.4607
98,3587.66
99,3534.4326
100,3534.049
101,3533.1387
102,3535.5461
103,3510.117
104,3501.7544
105,3453.932
106,3409.0942
107,3419.621
108,3394.4937
109,3402.1218
110,3510.953
111,3609.8582
112,3623.985
113,3670.4287
114,3558.527
115,3567.6062
116,3606.2063
117,3604.21
118,3617.9778
119,3635.4253
120,3630.8743
121,3600.009
122,3629.9897
123,3636.3228
124,3642.2585
125,3672.3237
126,3699.8582
127,3716.828
128,3740.0105
129,3732.8352
130,3754.5183
131,3762.309
132,3778.271
133,3789.1646
134,3811.9849
135,3722.8967
136,3746.094
137,3774.7646
138,3799.509
139,3816.9636
140,3847.7039
141,3866.6792
142,3813.1292
143,3861.6401
144,3874.3457
145,3863.2563
146,3894.6675
147,3907.5793
148,3892.5972
149,3885.0986
